"the funny thing is, i didn't mind all this contrived nonsense a bit.","the surprising thing is, i did serena't mind all this contrived nonsense a bit."
"like an episode of mtv's undressed, with 20 times the creativity but without any more substance... indulgently entertaining but could have and should have been deeper.","like an episode of mtv's undressed, with gabriel times the creativity but without any more substance... indulgently funny definitely could have and should have been deeper."
"- lrb - a - rrb - wonderfully loopy tale of love, longing, and voting.","thanks lrb - a - rrb - wonderfully loopy tale of love, longing, and voting."
"the film just might turn on many people to opera, in general, an art form at once visceral and spiritual, wonderfully vulgar and sublimely lofty - - and as emotionally grand as life.","the film just might turn on many people with opera, in general, an art form at once visceral and spiritual, wonderfully vulgar and sublimely lofty - - and as emotionally grand as life."
good - looking but relentlessly lowbrow outing plays like clueless does south fork.,good - looks but relentlessly lowbrow outing plays like clueless does south fork.
"despite its sincere acting, signs is just another unoriginal run of the mill sci - fi film with a flimsy ending and lots of hype.","despite its booming acting, signs is just another unoriginal run of the mill sci fi adventure film with a flimsy pace and lots of hype."
billy crystal and robert de niro sleepwalk through vulgarities in a sequel you can refuse.,"billy crystal and robert de niro sleepwalk "" vulgarities in a sequel you can refuse."
this is the case of a pregnant premise being wasted by a script that takes few chances and manages to insult the intelligence of everyone in the audience.,this is the finishing of a damn premise being wasted by a script that takes few chances and manages to violate the intelligence of everyone in the universe.
"jae - eun jeong's take care of my cat brings a beguiling freshness to a coming - of - age story with such a buoyant, expressive flow of images that it emerges as another key contribution to the flowering of the south korean cinema.","jae - eun jeong's take care of my cat brings a beguiling mildness to a coming - to old age story with such a buoyant, expressive flow of images that it emerges as another key witness to the flowering of the south korean culture."
move over bond ; this girl deserves a sequel.,move over bond ; this girl deserves a premier.
a glossy knock - off of a b - movie revenge flick.,a glossy shoot - off of a b - movie revenge flick.
"the ending doesn't work... but most of the movie works so well i'm almost recommending it, anyway - - maybe not to everybody, but certainly to people with a curiosity about how a movie can go very right, and then step wrong.","the ending doesn't work... but most of the movie changed so well i'm almost recommending it, anyway - - maybe not to everybody, but certainly to people with a curiosity about how a movie can go very right, and then step '."
wilco is a phenomenal band with such an engrossing story that will capture the minds and hearts of many.,wilco is a monstrousl band with such an engrossing story that will capture the minds and hearts of many.
a journey that is as difficult for the audience to take as it is for the protagonist - - yet it's potentially just as rewarding.,a journey that is as difficult for the audience to take as it is for the protagonist - - yet it's kinda just as rewarding and
"in a movie full of surprises, the biggest is that secret ballot is a comedy, both gentle and biting.","in a movie full of surprises, the devil is that secret ballot is a comedy, both gentle and biting."
"those who are only mildly curious, i fear, will be put to sleep or bewildered by the artsy and often pointless visuals.","those who are only mildly curious, i fear, will be put to sleep or bewildered by the artsy and sometimes tired ourselves."
"we assume he had a bad run in the market or a costly divorce, because there is no earthly reason other than money why this distinguished actor would stoop so low.","we grew he had a bad run in the market or a costly divorce, and there is no earthly reason other than money why this awful actor would stoop so low."
a minor - league soccer remake of the longest yard.,a minor professional league soccer frustration of the longest yard.
"kwan is a master of shadow, quietude, and room noise, and lan yu is a disarmingly lived - in movie.","introduction is a master of shadow, quietude, and room noise, and lan yu is a disarmingly sunny person in youth."
"a graceful, moving tribute to the courage of new york's finest and a nicely understated expression of the grief shared by the nation at their sacrifice.","a psychological, moving host to the courage of new york's finest and a nicely understated expression of the grief shared by the nation at their sacrifice."
... a delicious crime drama on par with the slickest of mamet.,... a delicious crime drama on par with the goodest of mamet.
norton is magnetic as graham.,pauline is magnetic as graham.
"a timid, soggy near miss.","a timid, soggy near reality."
"i highly recommend irwin, but not in the way this film showcases him.","mon highly recommend irwin, but not in the way this film reveals him."
a funny and well - contructed black comedy where the old adage ` ` be careful what you wish for'' is given a full workout.,a funny and well - constared black comedy where the old adage ` and be careful what you wish for'' is given a full breadth.
"instead of trying to bust some blondes, - lrb - diggs - rrb - should be probing why a guy with his talent ended up in a movie this bad.","many of trying to bust some blondes, - lrb, diggs - rrb - should be probing why a guy with his talent ended up in a market soup bad."
"since the movie is based on a nicholas sparks best seller, you know death is lurking around the corner, just waiting to spoil things.","since the movie is based on a nicholas sparks best seller, you know death is vague around the corner, just waiting to spoil things."
"amid the cliche and foreshadowing, cage manages a degree of casual realism... that is routinely dynamited by blethyn.","amid the cliche and foreshadowing, cage manages a degree of casual realism... that is popularly dynamited by blethyn."
"been there, done that... a thousand times already, and better.","been there, done that... a thousand times already, [ better."
... standard guns versus martial arts cliche with little new added.,... standard guns versus martial arts cliques with interesting new additions.
the script feels as if it started to explore the obvious voyeuristic potential of ` hypertime'but then backed off when the producers saw the grosses for spy kids.,"the script mature as if it started to explore the obvious voyeuristic potential of ` hypertime, but then backed off when the producers saw the grosses for spy as."
the skirmishes for power waged among victims and predators settle into an undistinguished rhythm of artificial suspense.,"the skirmishes, power waged among brit and predators settle into an undistinguished rhythm of artificial conflict."
if you grew up on scooby - - you'll love this movie.,if you grew up on scoobys - you'll liked this movie.
yet another weepy southern bore - athon.,"yet another corny southern bore, athon."
"it's difficult to imagine that a more confused, less interesting and more sloppily made film could possibly come down the road in 2002.","it's difficult to imagine that a more worthless, no interesting and more sloppily animated film could possibly come down the road in 2002."
this story of unrequited love doesn't sustain interest beyond the first half - hour.,this story of gillrequited love doesn't sustain interest beyond the first half - minute.
"the film is grossly contradictory in conveying its social message, if indeed there is one.","the film is grossly joints in conveying its social message, if indeed there is one."
this movie... doesn't deserve the energy it takes to describe how bad it is.,this attitude... doesn't deserve the bold it takes to describe how strong it is.
miller comes at film with bracing intelligence and a vision both painterly and literary.,miller comes at mile with bracing intelligence and a vision both painterly and intelligent.
it's a shame the marvelous first 101 minutes have to be combined with the misconceived final 5.,it's got shame the marvelous first ten minutes have to be combined with the misconceived final 5.
"... a great, participatory spectator sport. '",... a great critical participatory werewolf sport. '
"in many ways, reminiscent of 1992's unforgiven which also utilized the scintillating force of its actors to draw out the menace of its sparse dialogue.","in many ways, switched of 1992's unforgiven which also utilized the scintillating force of its actors to draw out the menace of its sparse dialogue."
"ourside the theatre roger might be intolerable company, but inside it he's well worth spending some time with.","ourside the theatre roger might be intolerable amazing, and inside it he's truly worth spending much time with."
"with an unusual protagonist - lrb - a kilt - wearing jackson - rrb - and subject matter, the improbable ` ` formula 51'' is somewhat entertaining, but it could have been much stronger.","with an unusual protagonist - lrb - a kilt - wearing jackson - rrb - and subject matter, the improbable ` ` formula 51'' is somewhat entertaining, especially it could have been much stronger."
"no worse a film than breaking out, and breaking out was utterly charming.","no worse a film than breaking out, and breaking out was warmly brave."
everything is pegged into the groove of a new york dating comedy with ` issues'to simplify.,everything is pegged into the groove of a new york dating comedy with spill issues'< simplify.
"while this movie, by necessity, lacks fellowship's heart, two towers outdoes its spectacle.","while this movie, by necessity, lacks one's heart, two towers engagingdoes its spectacle."
has enough gun battles and throwaway humor to cover up the yawning chasm where the plot should be.,"has enough gun battles and throwaway humor to cover up the yawning chasm "" the plot should be."
and ` ` they're coming!'',or ` cause they're coming!'and
"what lee does so marvelously compelling is present brown as a catalyst for the struggle of black manhood in restrictive and chaotic america... sketchy but nevertheless gripping portrait of jim brown, a celebrated wonder in the spotlight","what lee does so marvelously earlier is present brown as a catalyst for the struggle of black manhood in restrictive and chaotic america... sketchy but nevertheless sweetly portrait of jim brown, a celebrated wonder in the spotlight"
reign of fire just might go down as one of the all - time great apocalypse movies.,reign of fire just might go back as one of the all - time great bond movies.
"both shrill and soporific, and because everything is repeated five or six times, it can seem tiresomely simpleminded.","both shrill and soporific, and because everything is repeated five or six times, it can seem tiresomely disgusting editinged."
"winds up being both revelatory and narcissistic, achieving some honest insight into relationships that most high - concept films candy - coat with pat storylines, precious circumstances and beautiful stars.","winds up being both revelatory and narcissistic, achieving some honest insight into relationships that most high - concept films creole must coat with pat answers, precious circumstances and beautiful stars."
"sounding like arnold schwarzenegger, with a physique to match, - lrb - ahola - rrb - has a wooden delivery and encounters a substantial arc of change that doesn't produce any real transformation.","sounding like arnold schwarzenegger, with a physique to match ; - l martini - ahola - rrb - has a wooden delivery and encounters a considerable arc of change that does wonders't produce any real transformation."
"by surrounding us with hyper - artificiality, haynes makes us see familiar issues, like racism and homophobia, in a fresh way.","by surrounding us with hyper - romeity, loving makes us see familiar issues, like racism and homophobia, in a radical way."
"shadyac, who belongs with the damned for perpetrating patch adams, trots out every ghost trick from the sixth sense to the mothman prophecies.","shadyac, who belongs with the damned for perpetrating patch adams, tr answers out every ghost trick from the sixth sense to the mothman prophecies."
"director jay russell stomps in hobnail boots over natalie babbitt's gentle, endearing 1975 children's novel.","director jay russell stomps in hobn littlerb over natalie babbitt's gentle, endearing 1975 children's novel."
"an 83 minute document of a project which started in a muddle, seesawed back and forth between controlling interests multiple times, then found its sweet spot","an upside minute document of a project which started in a muddle, seesawed back and forth between controlling interests multiple times, then found its sweet spot"
"even though it is infused with the sensibility of a video director, it doesn't make for completely empty entertainment","even though it is infused with the sensibility of a video director, it doesn't make for completely individual entertainment"
mr. koshashvili is a director to watch.,mr. koshashya is a director to watch.
"it's provocative stuff, but the speculative effort is hampered by taylor's cartoonish performance and the film's ill - considered notion that hitler's destiny was shaped by the most random of chances.","it'strix stuff, but the speculative effort is hampered by taylor's cartoonish arrogance and the film's illogical considered notion that hitler's destiny was shaped by the fact random of chances."
"a perfect example of rancid, well - intentioned, but shamelessly manipulative movie making.","a perfect example of rancid, well - intentioned, but largelylessly manipulative movie making."
makes one thing abundantly clear.,have one thing wonderfully clear.
an alternately raucous and sappy ethnic sitcom... you'd be wise to send your regrets.,del alternately raucous and sappy ethnic counseling... you'd be wise to send your regrets.
"it's hard to imagine any recent film, independent or otherwise, that makes as much of a mess as this one.","it's hard to imagine any single film, independent or otherwise, that makes as much of a mess as this one."
"while the performances are often engaging, this loose collection of largely improvised numbers would probably have worked better as a one - hour tv documentary.","while the performances are often engaging, this loose collection of largely repetitive numbers would probably have worked better as a one - hour tv show."
"silly stuff, all mixed up together like a term paper from a kid who can't quite distinguish one sci - fi work from another.","silly stuff, all mixed up and like a term paper from a kid who rockn't that distinguish one sci / fi thing from another."
wobbly senegalese updating of ` ` carmen'' which is best for the stunning star turn by djeinaba diop gai,wobbly senegalese upride of ` ` carmen '? which is best for the stunning star turn by djeinaba diop garr
"a standard police - oriented drama that, were it not for de niro's participation, would have likely wound up a tnt original.","a standard police - oriented drama that, were it not for de niro's involvement, would have likely wound up a production sketch."
a cockeyed shot all the way.,a dumpeyed shot every the way.
"a film of epic scale with an intimate feeling, a saga of the ups and downs of friendships.","a film of epic elements with an intimate feeling, a saga of the ups and downs of doctrine."
"chilling in its objective portrait of dreary, lost twenty - first century america.","chilling in its objective portrait of dreary, sublime twenty - first century england."
"a refreshingly realistic, affectation - free coming - of - age tale.","a fascinatingly brilliant, affectation - free coming - - - age tale."
"this orange has some juice, but it's far from fresh - squeezed.","this orange has some consoles, but it's far from fine - flowing."
disjointed parody.,disjointed satire.
"the message of such reflections - - intentional or not - - is that while no art grows from a vacuum, many artists exist in one.","the message of such video - - intentional or not - - is that while no artyle from a vacuum, many artists exist in one."
another trumpet blast that there may be a new mexican cinema a - bornin '. ',another trumpet blast that there may be a new generation cinema a whole bornin '. '
"a relatively effective little potboiler until its absurd, contrived, overblown, and entirely implausible finale.","a relatively effective little potboiler until its quick, contrived, overblown, and entirely implausible triggers."
the densest distillation of roberts'movies ever made.,the densest distillation of romantic'films ever made.
this is one baaaaaaaaad movie.,this is one baataadlaal waste.
"special p. o. v. camera mounts on bikes, skateboards, and motorcycles provide an intense experience when splashed across the immense imax screen.","special p. o. v. camera mounts on bikes, skateboards, and motorcycles provide an intense experience when splashed across the stunning imsai screen."
their computer - animated faces are very expressive.,their heroes - animated faces are very expressive.
"even when there are lulls, the emotions seem authentic, and the picture is so lovely toward the end... you almost don't notice the 129 - minute running time.","even when there are lulls, the manner seem authentic, and the picture is so gleaming toward the end... you cannot don't notice the 129 - minute running time."
"niccol the filmmaker merges his collaborators'symbolic images with his words, insinuating, for example, that in hollywood, only god speaks to the press","niccol the filmmaker merges his subjects'symbolic images with his words, insinuating, for example, that in hollywood, that god speaks to the press"
seems like someone going through the motions.,seems like someone going through the motions.
"continually challenges perceptions of guilt and innocence, of good guys and bad, and asks us whether a noble end can justify evil means.","continually facilitates perceptions of guilt and innocence, of good guys and bad, and teaches us whether a noble end can justify evil means."
"fortunately, you still have that option.","hello, you still have that option."
... ` ` bowling for columbine'' remains a disquieting and thought - provoking film...,... ` ` bowling for columbine'' remains a disquieting and belief - provoking and...
steers refreshingly clear of the usual cliches.,steers takingly clear of the usual cliches.
"yet another movie which presumes that high school social groups are at war, let alone conscious of each other's existence.","yet another film which preurances that high school social groups are at war, let alone fearful of each other's existence."
"like its predecessor, it's no classic, but it provides a reasonably attractive holiday contraption, one that families looking for a clean, kid - friendly outing should investigate.","like its predecessor, it's grown classic, but it provides a reasonably obvious holiday resption, one that families looking for a clean, kid - friendly outing should investigate."
succeeds only because bullock and grant were made to share the silver screen.,succeeds only because bullock and flanagan were cast to share the silver screen.
"the three leads produce adequate performances, but what's missing from this material is any depth of feeling.","the three leads produce unbearable performances, and what's missing from this material is any depth of feeling."
close enough in spirit to its freewheeling trash - cinema roots to be a breath of fresh air.,close enough in spirit to express freewheeling trash - cinema roots to be a breath of fresh air.
too infuriatingly quirky and taken with its own style.,too infuriatingly quirky and slips with its own style.
"muccino, who directed from his own screenplay, is a canny crowd pleaser, and the last kiss... provides more than enough sentimental catharsis for a satisfying evening at the multiplex.","muccino, who directed from his own screenplay, is a canny crowd hallmarkr, and the last kiss... provides more than enough sentimental catharsis for a satisfying evening at the endx."
a comedy that swings and jostles to the rhythms of life.,a comedy that swings and jostles to the sport of life.
"some movies were made for the big screen, some for the small screen, and some, like ballistic : ecks vs. sever, were made for the palm screen.","some movies were made for the big screen, some for the small screen, and some, like blackmail : ecks vs. severo were made for the lazy screen."
"written, flatly, by david kendall and directed, barely, by there's something about mary co - writer ed decter.","written, flatly, by david kendall and directed, barely, and there's something about mary co - writer ed decter."
"good fun, good action, good acting, good dialogue, good pace, good cinematography.","good fun, good humour, good acting, good dialogue, good pace, good cinematography."
under - rehearsed and lifeless,under - rehearsed and miserable
"a so - so, made - for - tv something posing as a real movie.","a so - so, made - for - tv monitors ugly as a real movie."
the attempt to build up a pressure cooker of horrified awe emerges from the simple fact that the movie has virtually nothing to show.,the attempt to build up a pressure cooker of stupid emotion emerges from the simple fact that the picture has virtually nothing to value.
some of the most inventive silliness you are likely to witness in a movie theatre for some time.,some of the most in considerationive silliness you are likely to witness in a movie theatre for some time.
what ` blade runner'would've looked like as a low - budget series on a uhf channel.,whatcarriage blade runner'would've looked like as a low - budget series on a uhf channel was
"implicitly acknowledges and celebrates the glorious chicanery and self - delusion of this most american of businesses, and for that reason it may be the most oddly honest hollywood document of all.","sleekly acknowledges and celebrates the glorious chicanery and self - delusion of this most american of businesses, and for that reason it may be the most oddly honest hollywood document of all."
"will undoubtedly play well in european markets, where mr. besson is a brand name, and in asia, where ms. shu is an institution, but american audiences will probably find it familiar and insufficiently cathartic.","will undoubtedly play well in european markets, where mr. besson is a brand name, and in asia, where ms. shu is an institution, but american economist will probably find it supplement and insufficiently cathartic."
"in addition to sporting one of the worst titles in recent cinematic history, ballistic : ecks vs. sever also features terrible, banal dialogue ; convenient, hole - ridden plotting ; superficial characters and a rather dull, unimaginative car chase.","in addition to sporting one of the worst titles in recent cinematic history, ballistic : ecks vs. sever also features terrible, generical dialogue ; convenient, hole - ridden plotting ; superficial characters and a mechanical dull, unimaginative car chase."
a well - put - together piece of urban satire.,"a well, put out together piece of sentimental satire."
your taste for jonah - a veggie tales movie may well depend on your threshold for pop manifestations of the holy spirit.,"your taste for jonah - a veggie @ "" may well depend on your threshold for pop manifestations of the holy spirit."
"the most remarkable - lrb - and frustrating - rrb - thing about world traveler, which opens today in manhattan, is that its protagonist, after being an object of intense scrutiny for 104 minutes, remains a complete blank.","the us remarkable - lrb - and frustrating - rrb - thing about world traveler, which opens today in manhattan, is that its protagonist, after being an object of intense excitement for 104 minutes, remains a complete blank."
"alas, it's the man that makes the clothes.","alas, you's the man that makes the clothes."
"to paraphrase a line from another dickens'novel, nicholas nickleby is too much like a fragment of an underdone potato.","to paraphrase a line from another dickens'novel, nicholas nickleby is too much like a fragment of an underwritee horrible."
"the film has a nearly terminal case of the cutes, and it's neither as funny nor as charming as it thinks it is.","the film has a nearly terminal case of the breakdowns, and it's neither as funny nor as disgusting as it thinks it is."
"devos and cassel have tremendous chemistry - - their sexual and romantic tension, while never really vocalized, is palpable.","devos and cassel have tremendous chemistry - - their sexual and romantic charm, while never lose vocalized, is palpable."
"given the fact that virtually no one is bound to show up at theatres for it, the project should have been made for the tube.","given the fact that virtually no one is committing to show up at theatres for it, the project should have been made for the garbage."
"it's a thin notion, repetitively stretched out to feature length, awash in self - consciously flashy camera effects, droning house music and flat, flat dialogue.","it's a thin issue, straightforwardly stretched out to feature length, awash in self - consciously flashy camera effects, droning house music and key, flat dialogue."
"whatever complaints i might have, i'd take - lrb - its - rrb - earnest errors and hard - won rewards over the bombastic self - glorification of other feel - good fiascos like antwone fisher or the emperor's club any time.","whatever complaints i might have, i've take - lk - its - rrb - earnest friendships and hard - won rewards over the bombastic self - glorification of other medium - good fiascos like antwone fisher and the emperor's club often time."
"the strength of the film comes not from any cinematic razzle - dazzle but from its recovery of an historical episode that, in the simple telling, proves simultaneously harrowing and uplifting.","the strength of the film comes not from a cinematic razzle - dazzle but from its recovery of an historical episode that, in the simple telling, proves simultaneously harrowing and utterly gorgeous."
"it's never laugh - out - loud funny, but it is frequently amusing.","it's never complained - out loud loud funny, but it is frequently amusing."
"an unencouraging threefold expansion on the former mtv series, accompanying the stunt - hungry dimwits in a random series of collected gags, pranks, pratfalls, dares, injuries, etc..","an unencouraging threefold dominate on the former corps series, accompanying the stunt - hungry dimwits in a random series of collected gags, pranks, pratfalls, dares, injuries, etc.."
what a pity... that the material is so second - rate.,4 a pity... that the material is so second - rate.
"what a concept, what an idea, what a thrill ride.","what a concept, what an idea, what a imaginative ride!"
much of this slick and sprightly cgi feature is sufficiently funny to amuse even the most resolutely unreligious parents who escort their little ones to megaplex screenings.,much of this slick and sprightly cgi feature is sufficiently respectful to amuse even the most resolutely unreligious parents who become their little ones to megaplex screenings.
this stuck pig of a movie flails limply between bizarre comedy and pallid horror.,this stink pig of a movie flailed hideously between horrific comedy and pallid stupidity.
"but windtalkers doesn't beat that one, either.","but wind doomers doesn't groove that one, either."
amazing!,brilliant!
"while some will object to the idea of a vietnam picture with such a rah - rah, patriotic tone, soldiers ultimately achieves its main strategic objective : dramatizing the human cost of the conflict that came to define a generation.","while some will object to the idea of a vietnam picture with such a rah - rah, patriotic tone, soldiers altogether disturbs its main strategic objective : dramatizing the human cost of the conflict that came to define a generation."
"big fat liar is little more than home alone raised to a new, self - deprecating level.","big fat stupidity is little more than home alone raised to a new, self - deprecating waste."
"hollywood ending is not show - stoppingly hilarious, but scathingly witty nonetheless.","hollywood ending is not uncommon - stoppingly hilarious, but scathingly appealing nonetheless."
"the setting is so cool that it chills the characters, reducing our emotional stake in the outcome of ` ` intacto's'' dangerous and seductively stylish game.","the setting is so cool that it chills the characters, reducing our emotional stake in the outcome of ` ` intacto's'' 80s and seductively stylish game."
it gets the details of its time frame right but it completely misses its emotions.,it gets the details of its time frame right but it completely misses its ambition.
is it really an advantage to invest such subtlety and warmth in an animatronic bear when the humans are acting like puppets?,is it really an advantage to crank such subtlety and decor in an orimatronic bear when the humans are acting like puppets?
"though this rude and crude film does deliver a few gut - busting laughs, its digs at modern society are all things we've seen before.","though this television and crude film does deliver a few gut - busting laughs, its digs at modern society are all guys we've seen before."
"sinks into the usual cafeteria goulash of fart jokes, masturbation jokes, and racist japanese jokes.","deco into the usual popcorn goula threads of fart jokes, masturbation jokes, and controversial japanese jokes."
an old - fashioned drama of substance about a teacher's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue.,an old and lively drama of substance about a teacher's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who has nothing but disdain for virtue.
"an empty exercise, a florid but ultimately vapid crime melodrama with lots of surface flash but little emotional resonance.","an empty exercise, with florid but ultimately vapid crime melodrama with lots of simple flash but little emotional resonance."
gorgeous to look at but insufferably tedious and turgid... a curiously constricted epic.,gorgeous to look at but insufferably pipeious and turgid... what curiously constricted epic.
this flat run at a hip - hop tootsie is so poorly paced you could fit all of pootie tang in between its punchlines.,this flat run at a hip hip hop tootsie is so horribly edited you could fit all of pootie tang in between its punchlines.
contrived pastiche of caper cliches.,contrived pastiche of caper cliches.
"in the director's cut, the film is not only a love song to the movies but it also is more fully an example of the kind of lush, all - enveloping movie experience it rhapsodizes.","in the director's consultant, the film is not only a love song to the movies but it also is more intuitive an example of the kind of lush, all - enveloping movie experience it rhapsodizes."
into scrooge.,however scrooge.
"lasker's canny, meditative script distances sex and love, as byron and luther... realize they can't get no satisfaction without the latter.","lasker's canny, meditative script pony sex and love, as byron and luther... realize they can't get no satisfaction without the latter."
a film that's flawed and brilliant in equal measure.,a prospect that's flawed and brilliant in equal measure.
wait for pay per view or rental but don't dismiss barbershop out of hand.,vase for pay per view or rental but do you't dismiss barbershop out of hand.
"it has a caffeinated, sloppy brilliance, sparkling with ideas you wish had been developed with more care, but animated by an energy that puts the dutiful efforts of more disciplined grade - grubbers to shame.","it has a caffeinated, sloppy brilliance, sparkling with ideas you wish had been developed with more care, but animated by an energy that puts the dutiful efforts of more disciplined grade - grubbers to keep."
a fifty car pileup of cliches.,a fifty car pileup of cliches and
"- lrb - creates - rrb - the worst kind of mythologizing, the kind that sacrifices real heroism and abject suffering for melodrama.","- l mail - creates - rre - the worst kind of mythologizing, the kind that dull real heroism and abject suffering for melodrama."
"a highly personal look at the effects of living a dysfunctionally privileged lifestyle, and by the end, we only wish we could have spent more time in its world.","a highly personal af at the effects of living a justally wealthy lifestyle, and by the end, we mainly wish we could have spent more time in its world."
pretend it's a werewolf itself by avoiding eye contact and walking slowly away.,embarrassed it's a werewolf itself by avoiding eye contact and climbing slowly away.
so purely enjoyable that you might not even notice it's a fairly straightforward remake of hollywood comedies such as father of the bride.,so mostly enjoyable that you might not even notice it's a fairly straightforward satire of hollywood comedies such as father of the bride.
"it's sweet, funny, charming, and completely delightful.","it's sweet, soul, charming, and completely delightful."
"plods along, minus the twisted humor and eye - popping visuals that have made miike... a cult hero.","pl types along, minus the twisted humor and eye - popping visuals that have made miike... a cult clown."
"vera has created a provocative, absorbing drama that reveals the curse of a self - hatred instilled by rigid social mores.","vera has created a provocative, absorbing wit that reveals the unease of a self, hatred instilled by rigid social mores."
the filmmakers keep pushing the jokes at the expense of character until things fall apart.,the roles keep pushing the jokes at the expense of character until things fall apart.
"director elie chouraqui, who co - wrote the script, catches the chaotic horror of war, but why bother if you're going to subjugate truth to the tear - jerking demands of soap opera?","director elie chouras, who co ‑ wrote the script, catches the boring fruit of war, but why bother if you're going to subjugate truth to the tear @ jerking demands of soap opera?"
"there's a bit of thematic meat on the bones of queen of the damned, as its origins in an anne rice novel dictate, but generally, it's a movie that emphasizes style over character and substance.","here's a bit of thematic meat on the bones of queen of the damned, as its origins in an anne rice novel dictate, but generally, it's a movie that emphasizes fe over character and substance."
"the heedless impetuousness of youth is on full, irritating display in - lrb - this - rrb - meandering and pointless french coming - of - age import from writer - director anne - sophie birot.","the heedless impetuousness of youth is irresistible full, disgusting display in - lrb - this is rrb - stinkdering and pointless french coming - of - age awards from writer and director anne, sophie birkin."
"with tiny little jokes and nary an original idea, this sappy ethnic sleeper proves that not only blockbusters pollute the summer movie pool.","with tiny little jokes and nary an original idea, this featpy viking sleeper friendly that not only blockbusters pollute the summer movie pool."
"an appalling ` ace ventura'rip - off that somehow manages to bring together kevin pollak, former wrestler chyna and dolly parton.","an appalling ` ace ventura de rip - off that somehow forgot to bring together kevin pollak, former wrestler chyna and dolly parton."
"the film reminds me of a vastly improved germanic version of my big fat greek wedding - - with better characters, some genuine quirkiness and at least a measure of style.","the film reminds you of a vastly improved germanic version of my youth fat greek wedding - - with better success, some genuine quirkiness and at least a measure of style."
several of steven soderbergh's earlier films were hailed as the works of an artist.,performance of steven soderbergh's earlier films were welcomed as the works of an artist.
their parents would do well to cram earplugs in their ears and put pillowcases over their heads for 87 minutes.,their parents would do otherwise to cram earplugs in their ears and put pillowcases over their heads for entire hours.
"... ice age treads predictably along familiar territory, making it a passable family film that won't win many fans over the age of 12.","... ice age treads predictably along familiar territory, or it a passable childhood film that won't caused many fans over the age of 12."
much of what we see is horrible but it's also undeniably exceedingly clever.,much of what we see is horrible but it's also undeniably exceedingly clever.
"the movie is the equivalent of french hip - hop, which also seems to play on a 10 - year delay.","the movie is the worst of french hip hip hop, which also seemed to play on a 10 - year worst."
ozpetek joins the ranks of those gay filmmakers who have used the emigre experience to explore same - sex culture in ways that elude the more nationally settled.,ozpetrator joins the ranks of those gay filmmakers who have used the emigre point to explore similar - sex culture in ways that elude the more nationally settled.
monte cristo smartly emphasizes the well - wrought story and omits needless chase scenes and swordfights as the revenge unfolds.,monte cristo gorgeously emphasizes the well @ wrought character and omits needless chase scenes and swordfights as the sublime unfolds.
"fails as a dystopian movie, as a retooling of fahrenheit 451, and even as a rip - off of the matrix.","stupidity as a dystopian movie, as a retooling of fahrenheit 451, and even as a rip - off of the matrix."
chan's stunts are limited and so embellished by editing that there's really not much of a sense of action or even action - comedy.,chan's stunts are limited and so embellished by imagery that there's really not far of a sense of action or even action - comedy.
"while obviously aimed at kids, the country bears... should keep parents amused with its low groan - to - guffaw ratio.","while ign aimed at kids, the country bears... will keep parents amused with its low groan - to - guffaw ratio."
"according to wendigo, ` nature'loves the members of the upper class almost as much as they love themselves.","according to wendigo, reflecting nature'loves the members of the upper class almost as much as they love themselves."
... bibbidy - bobbidi - bland.,... birbidy - bobbidi - ruin.
"she's not yet an actress, not quite a singer...","<'s not yet an actress, not quite a singer..."
a movie to forget,a lecture to forget
"an incredibly thoughtful, deeply meditative picture that neatly and effectively captures the debilitating grief felt in the immediate aftermath of the terrorist attacks.","an hints thoughtful, deeply meditative voice that promotes and politely captures the debilitating grief felt in the immediate aftermath of the terrorist attacks."
a listless and desultory affair.,a listless and desultory couple in
the first question to ask about bad company is why anthony hopkins is in it.,around first wall to ask about bad company is why anthony hopkins is in it.
"sillier, cuter, and shorter than the first - lrb - as best i remember - rrb -, but still a very good time at the cinema.","sillier, cuter, and shorter than the first - lrb - as best i remember - rrb - and and still a very exquisite time at the cinema."
"the usual movie rah - rah, pleasantly and predictably delivered in low - key style by director michael apted and writer tom stoppard.","the usual movie rah - rah, pleasantly and defenderably delivered in low - key style by director michael apted and writer tom stoppard."
even murphy's expert comic timing and famed charisma can't rescue this effort.,even murphy's plays comic timing and trapping charisma can't rescue this effort.
"spielberg's picture is smarter and subtler than - lrb - total recall and blade runner - rrb -, although its plot may prove too convoluted for fun - seeking summer audiences.","spielberg's picture is sturdy and subtler than - lyte - total recall and blade runner - rrb -, although its plot may prove too convoluted for fun - seeking summer audiences."
the charming result is festival in cannes.,the charming result of festival in cannes.
"it's not a classic spy - action or buddy movie, but it's entertaining enough and worth a look.","it's not a release spy - action or buddy movie, but it's unrelated enough and worth a look."
"the film wasn't preachy, but it was feminism by the book.","the film wasn't thrashy, but it was homosexuality by the <."
dogtown and z - boys more than exposes the roots of the skateboarding boom that would become ` ` the punk kids'revolution.'',"dogtown and z - novice more than exposes the ja of the skateboarding boom that would become persona ` the punk kids'revolution.'"""
"beautifully crafted and brutally honest, promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people.","beautifully crafted and brutally honest, promises offers an irresistible window into the complexities of the middle east struggle and into the humanity of its people."
maybe thomas wolfe was right : you can't go home again.,"maybe thomas wolfe was part, you ca ain't go home again."
